Number,Id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
Beth's Cafe,1,"cafe, meal_takeaway, restaurant, food, point_of_interest, establishment",7311 Aurora Avenue North 98103,98103,Seattle,Washington,United States
Mox Boarding House,,"cafe, bar, restaurant, point_of_interest, food, store, establishment",5105 Leary Avenue Northwest 98107,98107,Seattle,Washington,United States
Swansons Nursery,2,"cafe, clothing_store, food, store, point_of_interest, establishment",9701 15th Avenue Northwest 98117,98117,Seattle,Washington,United States
Cafe Allegro,1,"cafe, store, food, point_of_interest, establishment",4214 University Way Northeast 98105,98105,Seattle,Washington,United States
Cupcake Royale,2,"cafe, bakery, food, point_of_interest, store, establishment",1101 34th Avenue 98122,98122,Seattle,Washington,United States
Zig Zag Cafe,2,"cafe, bar, food, point_of_interest, establishment",1501 Western Avenue 98101,98101,Seattle,Washington,United States
The Crumpet Shop,1,"cafe, bakery, store, restaurant, food, point_of_interest, establishment",1503 1st Avenue 98101,98101,Seattle,Washington,United States
Barnes & Noble,2,"book_store, cafe, store, food, point_of_interest, establishment",31325 Pacific Highway South 98003,98003,Federal Way,Washington,United States
Metropolitan Market Queen Anne (Uptown),3,"grocery_or_supermarket, liquor_store, cafe, bakery, furniture_store, home_goods_store, store, food, point_of_interest, establishment",100 Mercer Street 98109,98109,Seattle,Washington,United States
Bakery Nouveau,2,"bakery, cafe, store, food, point_of_interest, establishment",4737 California Avenue Southwest 98116,98116,Seattle,Washington,United States
Caffé Vita,1,"cafe, store, food, point_of_interest, establishment",1005 East Pike Street 98122,98122,Seattle,Washington,United States
Metropolitan Market Kirkland,3,"grocery_or_supermarket, cafe, liquor_store, bakery, furniture_store, home_goods_store, food, store, point_of_interest, establishment",10611 Northeast 68th Street 98033,98033,Kirkland,Washington,United States
Zoka Coffee Roaster & Tea Company,2,"cafe, store, food, point_of_interest, establishment",2200 North 56th Street 98103,98103,Seattle,Washington,United States
Metropolitan Market Sand Point,3,"grocery_or_supermarket, liquor_store, cafe, bakery, furniture_store, home_goods_store, store, food, point_of_interest, establishment",5250 40th Avenue Northeast 98105,98105,Seattle,Washington,United States
Tutta Bella Neapolitan Pizzeria - Columbia City,2,"bar, cafe, restaurant, food, store, point_of_interest, establishment",4918 Rainier Avenue South 98118,98118,Seattle,Washington,United States
Krispy Kreme,1,"cafe, bakery, restaurant, food, store, point_of_interest, establishment",1900 1st Avenue South 98134,98134,Seattle,Washington,United States
FareStart,2,"cafe, restaurant, food, point_of_interest, establishment",700 Virginia Street 98101,98101,Seattle,Washington,United States
Pomegranate Bistro,2,"cafe, bakery, bar, store, restaurant, food, point_of_interest, establishment",18005 Northeast 68th Street 98052,98052,Redmond,Washington,United States
Cafe Solstice,1,"cafe, store, restaurant, food, point_of_interest, establishment",4116 University Way Northeast 98105,98105,Seattle,Washington,United States
